id,numday,numvisit,firstdt,lastdt,homepage,crime,localnews,colbball,sports,colfball,business,usnews,politics,entertain,state,weather,hssports,opinion,realestate,life
7531,1,1,2019-08-05,2019-08-05,9,0,9,0,41,0,6,0,0,0,0,0,0,0,0,0
7532,1,1,2019-06-06,2019-06-06,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
7533,1,1,2019-08-16,2019-08-16,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0
7534,3,5,2018-12-17,2018-12-19,2,0,13,10,54,0,0,0,2,0,1,0,0,0,0,0
7535,1,3,2019-05-03,2019-05-03,25,1,19,0,2,0,0,0,0,0,2,0,0,0,0,0
7536,1,1,2019-08-08,2019-08-08,21,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0
7537,38,94,2019-03-12,2019-04-19,488,10,76,0,99,0,4,1,4,7,3,12,0,0,2,52
7538,1,1,2019-07-14,2019-07-14,4,0,22,0,10,0,0,1,0,0,0,0,0,0,0,14
7539,22,80,2019-01-29,2019-02-27,591,69,116,11,14,0,6,9,3,15,14,21,0,4,77,22
7540,73,93,2019-05-20,2019-08-29,390,61,1702,2,29,0,15,7,4,14,13,6,0,163,0,131
7541,1,1,2019-03-22,2019-03-22,7,0,1,2,0,0,1,0,0,1,0,0,0,0,0,3
7542,3,6,2018-11-08,2018-11-10,2,0,2,0,6,0,0,1,0,0,0,0,0,0,0,0
7543,12,15,2019-02-03,2019-04-18,50,5,12,1,2,0,1,0,0,0,1,0,0,1,0,0
7544,1,1,2019-08-24,2019-08-24,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
7545,1,2,2019-08-22,2019-08-22,16,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0
7546,1,1,2019-04-25,2019-04-25,7,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0
7547,1,1,2018-10-30,2018-10-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
